contract_id,bank,ano_mes,product_id,location_id,units,financed_amount,outstanding_balance,dpd,delinquent_amount_30p,risk_score
C202501-BA-000042,Banco Shield,202501,1004.0,510,1,0.0,0.0,0,0.0,0.0143
C202501-BA-000043,Banco Shield,202501,1005.0,512,1,54022.53,44696.27,0,0.0,0.059
C202501-BA-000044,Banco Shield,202501,1016.0,509,1,14864.2,9529.13,0,0.0,0.0928
C202501-BA-000045,Banco Shield,202501,1007.0,512,1,18081.31,18081.31,0,0.0,0.0992
C202501-BA-000046,Banco Shield,202501,1004.0,505,1,0.0,0.0,0,0.0,0.1154
C202501-BA-000047,Banco Shield,202501,1005.0,503,1,31213.62,27411.74,0,0.0,0.1018
C202501-BA-000048,Banco Shield,202501,1006.0,507,1,2480.94,2061.65,0,0.0,0.0968
C202501-BA-000049,Banco Shield,202501,1006.0,503,1,6856.21,5939.88,0,0.0,0.0866
C202501-BA-000050,Banco Shield,202501,1004.0,506,1,0.0,0.0,0,0.0,0.1586
C202501-BA-000051,Banco Shield,202501,1003.0,513,1,11922.24,7783.87,0,0.0,0.0746
C202501-BA-000052,Banco Shield,202501,1009.0,507,1,0.0,0.0,0,0.0,0.147
C202501-BA-000053,Banco Shield,202501,1006.0,505,1,5121.89,5307.23,0,0.0,0.1329
C202501-BA-000054,Banco Shield,202501,1018.0,515,1,7539.5,7581.13,0,0.0,0.1099
C202501-BA-000055,Banco Shield,202501,1011.0,512,1,24274.37,18805.86,0,0.0,0.0651
C202501-BA-000056,Banco Shield,202501,1018.0,512,1,1652.76,1669.15,0,0.0,0.083
C202501-BA-000057,Banco Shield,202501,1006.0,502,1,7948.2,6741.78,0,0.0,0.0422
C202501-BA-000058,Banco Shield,202501,1005.0,507,1,52145.06,48876.1,0,0.0,0.0924
C202501-BA-000059,Banco Shield,202501,1017.0,513,1,861.23,743.51,0,0.0,0.0687
C202501-BA-000060,Banco Shield,202501,1005.0,510,1,29486.7,25735.36,5,0.0,0.0926
C202501-BA-000061,Banco Shield,202501,1001.0,501,1,0.0,0.0,0,0.0,0.085
C202501-BA-000062,Banco Shield,202501,1017.0,515,1,1216.93,922.15,0,0.0,0.1075
C202501-BA-000063,Banco Shield,202501,1002.0,502,1,468.69,446.49,0,0.0,0.0267
C202501-BA-000064,Banco Shield,202501,1010.0,503,1,60255.9,37949.54,0,0.0,0.1165
C202501-BA-000065,Banco Shield,202501,1005.0,502,1,16341.28,13755.58,0,0.0,0.1282
C202501-BA-000066,Banco Shield,202501,1016.0,515,1,18769.53,18646.46,0,0.0,0.0531
C202501-BA-000067,Banco Shield,202501,1018.0,513,1,4072.05,3287.57,0,0.0,0.0595
C202501-BA-000068,Banco Shield,202501,1014.0,502,1,30410.4,27658.35,0,0.0,0.0654
C202501-BA-000069,Banco Shield,202501,1011.0,515,1,37182.07,35024.76,0,0.0,0.0822
C202501-BA-000070,Banco Shield,202501,1014.0,508,1,31901.74,31263.65,0,0.0,0.0958
C202501-BA-000071,Banco Shield,202501,1011.0,515,1,20670.34,17648.01,0,0.0,0.0314
C202501-BA-000072,Banco Shield,202501,1017.0,507,1,821.07,623.85,0,0.0,0.0796
C202501-BA-000073,Banco Shield,202501,1009.0,513,1,0.0,0.0,0,0.0,0.0607
C202501-BA-000074,Banco Shield,202501,1010.0,509,1,56205.4,42078.56,0,0.0,0.125
C202501-BA-000075,Banco Shield,202501,1001.0,505,1,0.0,0.0,0,0.0,0.0888
C202501-BA-000076,Banco Shield,202501,1003.0,503,1,15349.43,12599.38,60,8053.0,0.0821
C202501-BA-000077,Banco Shield,202501,1002.0,515,1,311.07,286.16,5,0.0,0.1559
C202501-BA-000078,Banco Shield,202501,1020.0,501,1,37644.29,31159.94,0,0.0,0.1423
C202501-BA-000079,Banco Shield,202501,1004.0,513,1,0.0,0.0,0,0.0,0.0809
C202501-BA-000080,Banco Shield,202501,1013.0,508,1,27625.88,22438.0,0,0.0,0.1105
C202501-BA-000081,Banco Shield,202501,1003.0,514,1,9649.08,7436.09,0,0.0,0.131
C202501-BA-000082,Banco Shield,202501,1001.0,508,1,0.0,0.0,0,0.0,0.1111
C202501-BA-000083,Banco Shield,202501,1019.0,511,1,6299.14,5060.58,0,0.0,0.0837
C202501-BA-000084,Banco Shield,202501,1008.0,514,1,13050.8,9917.47,0,0.0,0.11
C202501-BA-000085,Banco Shield,202501,1015.0,507,1,3692.56,2768.56,0,0.0,0.1051
C202501-BA-000086,Banco Shield,202501,1019.0,508,1,3456.71,2965.57,0,0.0,0.1073
C202501-BA-000087,Banco Shield,202501,1006.0,509,1,3090.07,2914.26,0,0.0,0.0848
C202501-BA-000088,Banco Shield,202501,1010.0,501,1,46370.8,38303.66,0,0.0,0.0853
C202501-BA-000089,Banco Shield,202501,1008.0,505,1,1193.69,1019.98,0,0.0,0.0895
C202501-BA-000090,Banco Shield,202501,1011.0,511,1,22034.78,17801.96,0,0.0,0.0628
C202501-BA-000091,Banco Shield,202501,1014.0,511,1,38429.62,38139.7,0,0.0,0.0426
C202501-BA-000092,Banco Shield,202501,1012.0,512,1,0.0,0.0,0,0.0,0.0849
C202501-BA-000093,Banco Shield,202501,1009.0,506,1,0.0,0.0,0,0.0,0.0886
C202501-BA-000094,Banco Shield,202501,1019.0,508,1,2229.04,1943.0,0,0.0,0.1344
C202501-BA-000095,Banco Shield,202501,1003.0,515,1,16417.49,16635.92,0,0.0,0.0737
C202501-BA-000096,Banco Shield,202501,1011.0,511,1,21213.62,21461.41,0,0.0,0.0737
C202501-BA-000097,Banco Shield,202501,1017.0,513,1,1317.71,896.2,0,0.0,0.117
C202501-BA-000098,Banco Shield,202501,1020.0,509,1,31706.11,27518.47,0,0.0,0.0737
C202501-BA-000099,Banco Shield,202501,1013.0,514,1,25413.84,15666.29,0,0.0,0.1002
C202501-BA-000100,Banco Shield,202501,1016.0,508,1,5066.91,4137.08,0,0.0,0.1108
C202501-BA-000101,Banco Shield,202501,1006.0,503,1,4400.3,3176.29,0,0.0,0.0683
C202501-BA-000102,Banco Shield,202501,1014.0,502,1,30566.84,18712.81,0,0.0,0.0879
C202501-BA-000103,Banco Shield,202501,1003.0,508,1,12107.4,12099.62,0,0.0,0.0517
C202501-BA-000104,Banco Shield,202501,1015.0,508,1,4579.43,3566.15,0,0.0,0.0807
C202501-BA-000105,Banco Shield,202501,1005.0,506,1,26948.89,18690.37,0,0.0,0.0795
C202501-BA-000106,Banco Shield,202501,1019.0,513,1,5578.06,4189.9,0,0.0,0.1075
C202501-BA-000107,Banco Shield,202501,1002.0,503,1,364.14,289.95,0,0.0,0.0924
C202501-BA-000108,Banco Shield,202501,1012.0,503,1,0.0,0.0,0,0.0,0.0715
C202501-BA-000109,Banco Shield,202501,1008.0,502,1,6337.62,5301.8,10,0.0,0.1143
C202501-BA-000110,Banco Shield,202501,1013.0,502,1,15037.49,10419.32,0,0.0,0.1023
C202501-BA-000111,Banco Shield,202501,1010.0,506,1,49032.47,49595.63,0,0.0,0.164
C202501-BA-000112,Banco Shield,202501,1014.0,502,1,41341.32,32047.09,0,0.0,0.0682
C202501-BA-000113,Banco Shield,202501,1008.0,511,1,17633.51,15846.39,0,0.0,0.0516
C202501-BA-000114,Banco Shield,202501,1005.0,508,1,42442.69,31849.41,0,0.0,0.0485
C202501-BA-000115,Banco Shield,202501,1002.0,505,1,444.95,359.01,0,0.0,0.0566
C202501-BA-000116,Banco Shield,202501,1003.0,503,1,10707.3,9751.7,0,0.0,0.0579
C202501-BA-000117,Banco Shield,202501,1017.0,515,1,993.65,1034.65,0,0.0,0.1197
C202501-BA-000118,Banco Shield,202501,1018.0,509,1,7370.98,4569.08,0,0.0,0.1378
C202501-BA-000119,Banco Shield,202501,1016.0,507,1,3799.56,2476.85,0,0.0,0.0927
C202501-BA-000120,Banco Shield,202501,1018.0,515,1,5049.56,4384.64,0,0.0,0.082
C202501-BA-000121,Banco Shield,202501,1003.0,512,1,7621.56,6423.23,0,0.0,0.1105
C202501-BA-000122,Banco Shield,202501,1013.0,502,1,2571.15,2688.53,0,0.0,0.1077
C202501-BA-000123,Banco Shield,202501,1013.0,513,1,42851.07,26726.54,0,0.0,0.0724
C202501-BA-000124,Banco Shield,202501,1017.0,513,1,793.2,508.65,0,0.0,0.0666
C202501-BA-000125,Banco Shield,202501,1007.0,504,1,8334.95,6078.33,0,0.0,0.1252
C202501-BA-000126,Banco Shield,202501,1004.0,502,1,0.0,0.0,0,0.0,0.0516
C202501-BA-000127,Banco Shield,202501,1011.0,512,1,47057.95,31771.89,0,0.0,0.0657
C202501-BA-000128,Banco Shield,202501,1020.0,504,1,49297.01,34469.4,0,0.0,0.1574
C202501-BA-000129,Banco Shield,202501,1017.0,510,1,621.53,620.1,45,447.15,0.1096
C202501-BA-000130,Banco Shield,202501,1017.0,513,1,830.43,671.42,0,0.0,0.032
C202501-BA-000131,Banco Shield,202501,1013.0,508,1,7490.58,7366.89,0,0.0,0.0613
C202501-BA-000132,Banco Shield,202501,1010.0,509,1,52981.07,31909.81,0,0.0,0.1276
C202501-BA-000133,Banco Shield,202501,1005.0,510,1,41750.58,26206.12,10,0.0,0.0751
C202501-BA-000134,Banco Shield,202501,1013.0,514,1,49768.94,35841.74,0,0.0,0.0902
C202501-BA-000135,Banco Shield,202501,1006.0,508,1,6033.65,5892.8,0,0.0,0.1295
C202501-BA-000136,Banco Shield,202501,1010.0,504,1,66769.0,40940.17,0,0.0,0.1554
C202501-BA-000137,Banco Shield,202501,1010.0,510,1,36465.09,34294.91,0,0.0,0.1116
C202501-BA-000138,Banco Shield,202501,1012.0,507,1,0.0,0.0,0,0.0,0.0419
C202501-BA-000139,Banco Shield,202501,1016.0,506,1,16982.83,16217.98,0,0.0,0.0956
C202501-BA-000140,Banco Shield,202501,1020.0,504,1,32716.94,24722.47,0,0.0,0.0966
C202501-BA-000141,Banco Shield,202501,1018.0,502,1,8535.7,8276.9,0,0.0,0.0699
C202501-BA-000142,Banco Shield,202501,1015.0,515,1,4006.55,3248.68,0,0.0,0.1012
C202501-BA-000143,Banco Shield,202501,1004.0,501,1,0.0,0.0,0,0.0,0.0901
C202501-BA-000144,Banco Shield,202501,1011.0,511,1,12377.04,8542.16,0,0.0,0.0611
C202501-BA-000145,Banco Shield,202501,1017.0,509,1,940.68,650.64,0,0.0,0.1585
C202501-BA-000146,Banco Shield,202501,1008.0,515,1,18831.38,19025.84,0,0.0,0.01
C202501-BA-000147,Banco Shield,202501,1003.0,504,1,11623.11,10559.65,0,0.0,0.152
C202501-BA-000148,Banco Shield,202501,1004.0,509,1,0.0,0.0,0,0.0,0.0591
C202501-BA-000149,Banco Shield,202501,1011.0,513,1,33542.27,31021.55,5,0.0,0.0479
C202501-BA-000150,Banco Shield,202501,1011.0,513,1,38160.46,32699.97,0,0.0,0.0973
C202501-BA-000151,Banco Shield,202501,1015.0,506,1,7630.95,6356.35,0,0.0,0.1315
C202501-BA-000152,Banco Shield,202501,1001.0,509,1,0.0,0.0,0,0.0,0.1068
C202501-BA-000153,Banco Shield,202501,1007.0,510,1,16153.31,14318.19,0,0.0,0.0876
C202501-BA-000154,Banco Shield,202501,1003.0,511,1,12250.45,11769.96,0,0.0,0.0587
C202501-BA-000155,Banco Shield,202501,1015.0,511,1,8702.57,7104.84,0,0.0,0.0702
C202501-BA-000156,Banco Shield,202501,1009.0,512,1,0.0,0.0,0,0.0,0.075
C202501-BA-000157,Banco Shield,202501,1013.0,503,1,22363.19,19006.78,0,0.0,0.0565
C202501-BA-000158,Banco Shield,202501,1018.0,503,1,5066.51,3109.79,0,0.0,0.0813
C202501-BA-000159,Banco Shield,202501,1001.0,507,1,0.0,0.0,0,0.0,0.1049
C202501-BA-000160,Banco Shield,202501,1012.0,514,1,0.0,0.0,0,0.0,0.1114
C202501-BA-000161,Banco Shield,202501,1002.0,504,1,342.77,301.75,0,0.0,0.0866
C202501-BA-000162,Banco Shield,202501,1008.0,505,1,9372.64,6625.47,0,0.0,0.113
C202501-BA-000163,Banco Shield,202501,1014.0,502,1,38966.55,31188.33,0,0.0,0.0812
C202501-BA-000164,Banco Shield,202501,1007.0,509,1,9119.9,8993.08,0,0.0,0.1079
C202501-BA-000165,Banco Shield,202501,1005.0,515,1,56030.38,55899.79,0,0.0,0.1273
C202501-BA-000166,Banco Shield,202501,1014.0,510,1,58900.17,60482.38,0,0.0,0.0545
C202501-BA-000167,Banco Shield,202501,1020.0,512,1,31059.97,30771.8,0,0.0,0.1345
C202501-BA-000168,Banco Shield,202501,1012.0,511,1,0.0,0.0,0,0.0,0.0563
C202501-BA-000169,Banco Shield,202501,1003.0,506,1,12801.94,11632.94,0,0.0,0.0808
C202501-BA-000170,Banco Shield,202501,1002.0,509,1,1056.57,951.01,0,0.0,0.1125
C202501-BA-000171,Banco Shield,202501,1020.0,507,1,23503.77,21216.17,0,0.0,0.1252
C202501-BA-000172,Banco Shield,202501,1006.0,505,1,4820.02,4558.94,0,0.0,0.1026
C202501-BA-000173,Banco Shield,202501,1008.0,509,1,16643.21,14863.3,0,0.0,0.1425
C202501-BA-000174,Banco Shield,202501,1002.0,502,1,348.23,223.12,0,0.0,0.1158
C202501-BA-000175,Banco Shield,202501,1009.0,511,1,0.0,0.0,0,0.0,0.1035
C202501-BA-000176,Banco Shield,202501,1009.0,507,1,0.0,0.0,0,0.0,0.0932
C202501-BA-000177,Banco Shield,202501,1012.0,510,1,0.0,0.0,0,0.0,0.0435
C202501-BA-000178,Banco Shield,202501,1012.0,506,1,0.0,0.0,0,0.0,0.0793
C202501-BA-000179,Banco Shield,202501,1008.0,502,1,10092.17,8690.14,0,0.0,0.0914
C202501-BA-000180,Banco Shield,202501,1012.0,504,1,0.0,0.0,5,0.0,0.1183
C202501-BA-000181,Banco Shield,202501,1011.0,507,1,36584.01,25153.38,0,0.0,0.1173
C202501-BA-000182,Banco Shield,202501,1014.0,513,1,40655.79,35021.69,0,0.0,0.1518
C202501-BA-000183,Banco Shield,202501,1010.0,504,1,33709.36,22094.81,0,0.0,0.1827
C202501-BA-000184,Banco Shield,202501,1012.0,510,1,0.0,0.0,0,0.0,0.0843
C202501-BA-000185,Banco Shield,202501,1020.0,504,1,40843.3,33974.63,0,0.0,0.0405
C202501-BA-000186,Banco Shield,202501,1009.0,510,1,0.0,0.0,0,0.0,0.0317
C202501-BA-000187,Banco Shield,202501,1005.0,504,1,44835.54,39488.31,0,0.0,0.092
C202501-BA-000188,Banco Shield,202501,1001.0,507,1,0.0,0.0,0,0.0,0.1176
C202501-BA-000189,Banco Shield,202501,1016.0,505,1,17143.25,14872.02,0,0.0,0.1452
C202501-BA-000190,Banco Shield,202501,1002.0,503,1,1268.24,769.97,0,0.0,0.1019
C202501-BA-000191,Banco Shield,202501,1014.0,503,1,14798.74,13176.51,0,0.0,0.1073
C202501-BA-000192,Banco Shield,202501,1004.0,503,1,0.0,0.0,0,0.0,0.0366
C202501-BA-000193,Banco Shield,202501,1005.0,512,1,37863.88,28244.57,0,0.0,0.0255
C202501-BA-000194,Banco Shield,202501,1003.0,506,1,14918.99,12726.4,0,0.0,0.166
C202501-BA-000195,Banco Shield,202501,1004.0,505,1,0.0,0.0,0,0.0,0.0689
C202501-BA-000196,Banco Shield,202501,1016.0,512,1,17518.84,13659.3,0,0.0,0.0324
C202501-BA-000197,Banco Shield,202501,1008.0,506,1,17095.01,16067.12,0,0.0,0.1119
C202501-BA-000198,Banco Shield,202501,1001.0,505,1,0.0,0.0,0,0.0,0.1209
C202501-BA-000199,Banco Shield,202501,1002.0,509,1,285.86,237.85,0,0.0,0.1173
C202501-BA-000200,Banco Shield,202501,1003.0,506,1,13055.48,8516.94,0,0.0,0.1076
C202501-BA-000201,Banco Shield,202501,1018.0,513,1,6608.38,4871.07,0,0.0,0.0745
C202501-BA-000202,Banco Shield,202501,1009.0,515,1,0.0,0.0,5,0.0,0.0669
C202501-BA-000203,Banco Shield,202501,1002.0,509,1,248.64,241.98,0,0.0,0.0955
C202501-BA-000204,Banco Shield,202501,1020.0,503,1,25205.65,16030.4,0,0.0,0.0883
C202501-BA-000205,Banco Shield,202501,1012.0,512,1,0.0,0.0,0,0.0,0.01
C202501-BA-000206,Banco Shield,202501,1002.0,512,1,432.56,353.86,0,0.0,0.022
C202501-BA-000207,Banco Shield,202501,1018.0,513,1,2382.21,2268.37,0,0.0,0.1097
C202501-BA-000208,Banco Shield,202501,1014.0,503,1,41719.49,29399.33,0,0.0,0.0483
C202501-BA-000209,Banco Shield,202501,1020.0,513,1,41119.21,32994.18,0,0.0,0.1519
C202501-BA-000210,Banco Shield,202501,1003.0,507,1,3835.25,3964.57,0,0.0,0.1869
C202501-BA-000211,Banco Shield,202501,1002.0,514,1,690.36,580.52,0,0.0,0.0814
C202501-BA-000212,Banco Shield,202501,1001.0,513,1,0.0,0.0,0,0.0,0.1025
C202501-BA-000213,Banco Shield,202501,1004.0,502,1,0.0,0.0,0,0.0,0.062
C202501-BA-000214,Banco Shield,202501,1010.0,513,1,52324.47,53299.98,0,0.0,0.1091
C202501-BA-000215,Banco Shield,202501,1008.0,505,1,11922.93,11925.62,0,0.0,0.1405
C202501-BA-000216,Banco Shield,202501,1013.0,503,1,27596.85,24742.4,0,0.0,0.0701
C202501-BA-000217,Banco Shield,202501,1019.0,508,1,740.67,758.48,5,0.0,0.0975
C202501-BA-000218,Banco Shield,202501,1019.0,512,1,3115.84,2464.42,0,0.0,0.0172
C202501-BA-000219,Banco Shield,202501,1015.0,512,1,5304.53,3207.61,0,0.0,0.0779
C202501-BA-000220,Banco Shield,202501,1004.0,514,1,0.0,0.0,0,0.0,0.0784
C202501-BA-000221,Banco Shield,202501,1004.0,512,1,0.0,0.0,0,0.0,0.0669
C202501-BA-000222,Banco Shield,202501,1002.0,511,1,567.87,382.55,0,0.0,0.0806
C202501-BA-000223,Banco Shield,202501,1020.0,514,1,37579.48,33902.51,10,0.0,0.1012
C202501-BA-000224,Banco Shield,202501,1007.0,501,1,13269.8,12429.64,5,0.0,0.035
C202501-BA-000225,Banco Shield,202501,1014.0,507,1,48778.78,31636.68,0,0.0,0.0795
C202501-BA-000226,Banco Shield,202501,1015.0,504,1,4074.92,3439.26,0,0.0,0.1239
C202501-BA-000227,Banco Shield,202501,1001.0,508,1,0.0,0.0,0,0.0,0.1035
C202501-BA-000228,Banco Shield,202501,1005.0,515,1,37526.53,27208.83,0,0.0,0.045
C202501-BA-000229,Banco Shield,202501,1003.0,510,1,6567.15,5973.14,0,0.0,0.1063
C202501-BA-000230,Banco Shield,202501,1016.0,513,1,18883.55,11423.87,0,0.0,0.1582
C202501-BA-000231,Banco Shield,202501,1002.0,505,1,394.04,413.09,0,0.0,0.0633
C202501-BA-000232,Banco Shield,202501,1004.0,515,1,0.0,0.0,0,0.0,0.0655
C202501-BA-000233,Banco Shield,202501,1008.0,507,1,16899.5,15024.44,0,0.0,0.0887
C202501-BA-000234,Banco Shield,202501,1005.0,510,1,57801.12,41698.84,0,0.0,0.1305
C202501-BA-000235,Banco Shield,202501,1019.0,501,1,3263.4,2266.2,10,0.0,0.1005
C202501-BA-000236,Banco Shield,202501,1004.0,503,1,0.0,0.0,0,0.0,0.0684
C202501-BA-000237,Banco Shield,202501,1015.0,511,1,3412.53,2321.25,0,0.0,0.1081
C202501-BA-000238,Banco Shield,202501,1015.0,506,1,5531.62,4777.19,0,0.0,0.0639
C202501-BA-000239,Banco Shield,202501,1013.0,506,1,11774.43,11688.81,0,0.0,0.1054
C202501-BA-000240,Banco Shield,202501,1005.0,504,1,32646.64,30282.13,0,0.0,0.1505
C202501-BA-000241,Banco Shield,202501,1018.0,503,1,7907.2,5225.94,0,0.0,0.064
C202501-BA-000242,Banco Shield,202501,1020.0,508,1,31092.16,22513.02,0,0.0,0.0935
C202501-BA-000243,Banco Shield,202501,1014.0,508,1,34185.03,22916.68,0,0.0,0.0993
C202501-BA-000261,Banco Shield,202501,1004.0,508,1,0.0,0.0,0,0.0,0.0751
C202501-BA-000245,Banco Shield,202501,1006.0,515,1,6377.2,4955.41,0,0.0,0.0562
C202501-BA-000246,Banco Shield,202501,1012.0,508,1,0.0,0.0,0,0.0,0.0601
C202501-BA-000247,Banco Shield,202501,1017.0,503,1,885.98,818.65,0,0.0,0.0738
C202501-BA-000248,Banco Shield,202501,1010.0,509,1,48158.96,44559.87,0,0.0,0.1681
C202501-BA-000249,Banco Shield,202501,1009.0,507,1,0.0,0.0,0,0.0,0.1554
C202501-BA-000250,Banco Shield,202501,1005.0,502,1,21227.42,17132.08,15,0.0,0.1116
C202501-BA-000251,Banco Shield,202501,1007.0,506,1,15966.86,15285.0,5,0.0,0.0796
C202501-BA-000252,Banco Shield,202501,1017.0,507,1,835.97,549.08,0,0.0,0.1378
C202501-BA-000253,Banco Shield,202501,1015.0,506,1,4129.38,3514.48,0,0.0,0.0845
C202501-BA-000254,Banco Shield,202501,1002.0,509,1,724.83,556.21,0,0.0,0.0812
C202501-BA-000255,Banco Shield,202501,1018.0,511,1,5198.22,4603.35,0,0.0,0.035
C202501-BA-000256,Banco Shield,202501,1009.0,515,1,0.0,0.0,0,0.0,0.1093
C202501-BA-000257,Banco Shield,202501,1018.0,511,1,4043.61,3227.39,0,0.0,0.0627
C202501-BA-000258,Banco Shield,202501,1006.0,514,1,5042.38,4540.99,10,0.0,0.1301
C202501-BA-000259,Banco Shield,202501,1013.0,502,1,20434.61,17110.51,0,0.0,0.0781
C202501-BA-000260,Banco Shield,202501,1020.0,502,1,28581.04,28958.13,0,0.0,0.0543
C202501-HI-000261,Hidra,202501,1006.0,503,1,5484.24,5461.86,0,0.0,0.1456
C202501-HI-000262,Hidra,202501,1016.0,505,1,9486.86,8312.39,0,0.0,0.2032
C202501-HI-000263,Hidra,202501,1016.0,506,1,15341.95,14309.17,0,0.0,0.1824
C202501-HI-000264,Hidra,202501,1002.0,502,1,541.52,343.69,0,0.0,0.1553
C202501-HI-000265,Hidra,202501,1003.0,504,1,10588.89,8298.91,0,0.0,0.1835
C202501-HI-000266,Hidra,202501,1020.0,514,1,32565.45,29075.93,0,0.0,0.1436
C202501-HI-000267,Hidra,202501,1006.0,511,1,2268.44,1782.41,0,0.0,0.0815
C202501-HI-000268,Hidra,202501,1014.0,511,1,28442.23,28051.26,0,0.0,0.1181
C202501-HI-000269,Hidra,202501,1019.0,514,1,5342.96,4952.93,5,0.0,0.1421
C202501-HI-000270,Hidra,202501,1019.0,515,1,2424.54,1505.05,0,0.0,0.1175
C202501-HI-000271,Hidra,202501,1001.0,508,1,0.0,0.0,0,0.0,0.1331
C202501-HI-000272,Hidra,202501,1009.0,504,1,0.0,0.0,0,0.0,0.1895
C202501-HI-000273,Hidra,202501,1017.0,514,1,344.72,245.97,0,0.0,0.1197
C202501-HI-000274,Hidra,202501,1005.0,503,1,56092.68,35288.42,0,0.0,0.1193
C202501-HI-000275,Hidra,202501,1001.0,508,1,0.0,0.0,0,0.0,0.17
C202501-HI-000276,Hidra,202501,1020.0,513,1,52544.08,37063.7,0,0.0,0.1224
C202501-HI-000277,Hidra,202501,1012.0,513,1,0.0,0.0,0,0.0,0.0724
C202501-HI-000278,Hidra,202501,1018.0,501,1,5185.81,4162.7,0,0.0,0.1286
C202501-HI-000279,Hidra,202501,1013.0,501,1,28107.98,23657.18,0,0.0,0.2048
C202501-HI-000280,Hidra,202501,1017.0,514,1,664.21,517.13,0,0.0,0.1578
C202501-HI-000281,Hidra,202501,1009.0,509,1,0.0,0.0,0,0.0,0.1884
C202501-HI-000282,Hidra,202501,1007.0,513,1,10767.14,8349.3,0,0.0,0.1283
